text,intent
hello,greeting
hi,greeting
good morning,greeting
good evening,greeting
good afternoon,greeting
hey,greeting
hey there,greeting
hi there,greeting
hello there,greeting
greetings,greeting
hey railbot,greeting
hello railbot,greeting
hi railway assistant,greeting
can you help me,greeting
i need railway information,greeting
namaste,greeting
howdy,greeting
what's up,greeting
yo,greeting
sup,greeting
help me,greeting
i need help,greeting
need some information,greeting
i want to know something,greeting
can you assist me,greeting
please help me,greeting
good day,greeting
hi assistant,greeting
hello assistant,greeting
start,greeting
bye,goodbye
goodbye,goodbye
see you later,goodbye
thanks bye,goodbye
thank you goodbye,goodbye
i am done,goodbye
exit,goodbye
quit,goodbye
have a nice day,goodbye
thank you,goodbye
cheers,goodbye
ok thanks,goodbye
thanks a lot,goodbye
that will be all,goodbye
take care,goodbye
see ya,goodbye
later,goodbye
i am leaving,goodbye
ok bye,goodbye
done thanks,goodbye
show trains from mumbai to delhi,train_search
find trains from delhi to mumbai,train_search
trains between nagpur and pune,train_search
which trains go from mumbai to bikaner,train_search
find train from pune to delhi,train_search
show available trains from nagpur to mumbai,train_search
are there trains from delhi to agra,train_search
find a train between jaipur and delhi,train_search
give me trains from surat to mumbai,train_search
search trains from bhopal to indore,train_search
what trains run from mumbai to delhi,train_search
i need a train from mumbai to delhi,train_search
any trains from hyderabad to bangalore,train_search
trains from kolkata to delhi,train_search
find trains mumbai delhi,train_search
trains mumbai to pune,train_search
mumbai to delhi trains,train_search
what trains can i take from mumbai to delhi,train_search
are there any trains between mumbai and delhi,train_search
which trains connect mumbai and delhi,train_search
i want to go from mumbai to delhi by train,train_search
i need to travel from delhi to jaipur,train_search
how do i get from pune to mumbai by train,train_search
can you find trains from chennai to bangalore,train_search
train options from ahmedabad to mumbai,train_search
train services from delhi to agra,train_search
trains available from lucknow to varanasi,train_search
show me trains for delhi to amritsar,train_search
list trains from mumbai to goa,train_search
find all trains from delhi to kolkata,train_search
trains going from patna to delhi,train_search
is there a train from jaipur to udaipur,train_search
trains to go from hyderabad to pune,train_search
i want train from bangalore to mumbai,train_search
show trains pune to nagpur,train_search
trains from bhopal to mumbai,train_search
trains between delhi and agra,train_search
trains between chennai and hyderabad,train_search
find trains from kochi to trivandrum,train_search
trains from ahmedabad to rajkot,train_search
show all trains from vadodara to surat,train_search
trains from allahabad to varanasi,train_search
any trains from goa to mumbai,train_search
trains from visakhapatnam to vijayawada,train_search
list trains delhi to dehradun,train_search
trains from kanpur to delhi,train_search
trains from ernakulam to coimbatore,train_search
trains from new delhi to mumbai,train_search
search train delhi to mumbai,train_search
get trains from mumbai to delhi,train_search
which train goes from delhi to howrah,train_search
train between mumbai and delhi,train_search
i want to travel from mumbai to delhi,train_search
what are the trains from mumbai to delhi,train_search
train list from mumbai to delhi,train_search
trains from mumbai going to delhi,train_search
find me a train to delhi from mumbai,train_search
i am looking for trains between mumbai and delhi,train_search
need to find train between pune and nagpur,train_search
trains for journey from kolkata to varanasi,train_search
suggest trains from delhi to jaipur,train_search
any express train from mumbai to delhi,train_search
what trains are available from pune to delhi,train_search
tell me train options from mumbai to delhi,train_search
trains connecting mumbai to ahmedabad,train_search
trains from chandigarh to delhi,train_search
trains from delhi to lucknow,train_search
trains between patna and kolkata,train_search
trains from agra to jaipur,train_search
trains from srinagar to delhi,train_search
trains from thiruvananthapuram to mumbai,train_search
trains from nagpur to hyderabad,train_search
trains from indore to bhopal,train_search
trains from nashik to pune,train_search
train schedule mumbai to delhi,train_search
find me a direct train from delhi to varanasi,train_search
which trains go from bangalore to mysore,train_search
i want to book a train from mumbai to delhi,train_search
any rajdhani from mumbai to delhi,train_search
intercity trains from pune to mumbai,train_search
superfast trains from mumbai to delhi,train_search
trains from howrah to new delhi,train_search
trains from new delhi to howrah,train_search
trains from mumbai central to new delhi,train_search
trains from bandra terminus to delhi,train_search
trains from pune to bangalore,train_search
trains from bangalore to pune,train_search
trains from hyderabad to mumbai,train_search
trains from mumbai to hyderabad,train_search
trains from chennai to mumbai,train_search
trains from mumbai to chennai,train_search
trains from kolkata to mumbai,train_search
trains from mumbai to kolkata,train_search
